"first_name","pref_name","last_name","group_name","email","pref_email"
"Fozzie","Fozzie","Bear","heros","Fozzie.Bear@fic-delinq.org","Fozzie.Bear@gmail.com"
"Alice","Alice","Carroll","heroins","Alice.Carroll@fic-delinq.org","Alice.Carroll@gmail.com"
"WileE","WileE","Coyote","heros","WileE.Coyote@fic-delinq.org","WileE.Coyote@gmail.com"
"Capn","Capn","Crunch","heros","Capn.Crunch@fic-delinq.org","Capn.Crunch@gmail.com"
"Fred","Fred","Flintstone","heros","Fred.Flintstone@fic-delinq.org","Fred.Flintstone@gmail.com"
"Elmer","Elmer","Fudd","heros","Elmer.Fudd@fic-delinq.org","Elmer.Fudd@gmail.com"
"Red","Red","Hood","heroins","Red.Hood@fic-delinq.org","Red.Hood@gmail.com"
"Buzz","Buzz","Lightyear","heros","Buzz.Lightyear@fic-delinq.org","Buzz.Lightyear@gmail.com"
"Goldi","Goldi","Locks","heroins","Goldi.Locks@fic-delinq.org","Goldi.Locks@gmail.com"
"Shaggy","Shaggy","Rogers","heros","Shaggy.Rogers@fic-delinq.org","Shaggy.Rogers@gmail.com"
